Company Name,Industry,Symbol,Series,ISIN Code
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CESC Ltd.,Power,CESC,EQ,INE486A01021
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01014
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kec International Ltd.,Capital Goods,KEC,EQ,INE389H01022
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020
Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,EQ,INE689W01016
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Rain Industries Ltd,Chemicals,RAIN,EQ,INE855B01025
Redington (India) Ltd.,Services,REDINGTON,EQ,INE891D01026
Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,INE02A801020
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Welspun India Ltd.,Textiles,WELSPUNIND,EQ,INE192B01031
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
